"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","6.6","9.8","0.6","0","6.6","0","0"
"1","1","1","0","0","6.8","9.8","0.6","0","6.8","0","0"
"1","1","2","0","0","7","7.7","0.6","0","7","0","0"
"1","1","3","0","0","7.2","10.3","0.6","0","7.2","0","0"
"1","1","4","0","0","7.3","10.8","0.6","0","7.3","0","0"
"1","1","5","0","0","7.4","10.3","0.6","0","7.4","0","0"
"1","1","6","0","0","7","8.2","0.6","0","7","0","0"
"1","1","7","0","0","7.5","9.8","0.6","0","7.5","0","0"
"1","1","8","0","2","7.7","11.8","0.6","1.903","7.713","0.868","0"
"1","1","9","0","15","8","10.8","0.6","14.073","8.122","10.755","6.41"
"1","1","10","0","33","7.6","8.7","0.6","31.007","7.92","25.54","20.671"
"1","1","11","0","44","8.3","10.3","0.6","41.369","8.676","34.631","29.44"
"1","1","12","0","45","8.4","9.8","0.6","42.312","8.799","35.456","30.236"
"1","1","13","0","37","8.8","9.3","0.6","34.773","9.141","28.738","23.756"
"1","1","14","0","21","8.9","10.3","0.6","19.713","9.078","15.57","11.054"
"1","1","15","0","5","8.9","8.7","0.6","4.685","8.941","2.209","0"
"1","1","16","0","0","8.3","8.7","0.6","0","0","0","0"
"1","1","17","0","0","7.1","8.7","0.6","0","7.1","0","0"
"1","1","18","0","0","6.3","7.7","0.6","0","6.3","0","0"
"1","1","19","0","0","6.1","6.7","0.6","0","6.1","0","0"
"1","1","20","0","0","5.4","8.2","0.6","0","5.4","0","0"
"1","1","21","0","0","5.5","7.7","0.6","0","5.5","0","0"
"1","1","22","0","0","5.5","8.2","0.6","0","5.5","0","0"
"1","1","23","0","0","4.9","8.7","0.6","0","4.9","0","0"
"1","2","0","0","0","6","9.8","0.6","0","6","0","0"
"1","2","1","0","0","6","9.8","0.6","0","6","0","0"
"1","2","2","0","0","5.6","9.8","0.6","0","5.6","0","0"
"1","2","3","0","0","5.6","8.7","0.6","0","5.6","0","0"
"1","2","4","0","0","6.6","9.8","0.6","0","6.6","0","0"
"1","2","5","0","0","6.8","9.8","0.6","0","6.8","0","0"
"1","2","6","0","0","6.6","7.7","0.6","0","6.6","0","0"
"1","2","7","0","0","7.1","8.7","0.6","0","7.1","0","0"
"1","2","8","0","5","7.1","7.7","0.6","4.756","7.145","2.278","0"
"1","2","9","0","27","7","8.7","0.6","25.376","7.259","19.992","15.32"
"1","2","10","111","77","7.5","9.8","0.6","148","8.898","130.285","121.705"
"1","2","11","275","98","7.4","10.8","0.6","279.157","9.854","252.951","240.025"
"1","2","12","107","112","7.7","9.8","0.6","196.695","9.562","175.614","165.427"
"1","2","13","31","86","7.8","9.3","0.6","112.269","8.903","97.777","90.349"
"1","2","14","94","65","7.4","7.7","0.6","122.399","8.775","104.396","96.733"
"1","2","15","0","19","6.7","5.7","0.6","18.619","6.918","9.466","5.167"
"1","2","16","0","0","6.3","5.7","0.6","0","0","0","0"
"1","2","17","0","0","5.8","3.6","0.6","0","5.8","0","0"
"1","2","18","0","0","4.8","4.1","0.6","0","4.8","0","0"
"1","2","19","0","0","5","5.1","0.6","0","5","0","0"
"1","2","20","0","0","5.2","6.2","0.6","0","5.2","0","0"
"1","2","21","0","0","5.2","7.2","0.6","0","5.2","0","0"
"1","2","22","0","0","5.7","7.7","0.6","0","5.7","0","0"
"1","2","23","0","0","5.6","8.2","0.6","0","5.6","0","0"
"1","3","0","0","0","5.6","8.7","0.6","0","5.6","0","0"
"1","3","1","0","0","6.3","8.7","0.6","0","6.3","0","0"
"1","3","2","0","0","7.3","10.3","0.6","0","7.3","0","0"
"1","3","3","0","0","7.3","10.3","0.6","0","7.3","0","0"
"1","3","4","0","0","7.4","10.8","0.6","0","7.4","0","0"
"1","3","5","0","0","7.6","11.8","0.6","0","7.6","0","0"
"1","3","6","0","0","7.8","9.8","0.6","0","7.8","0","0"
"1","3","7","0","0","8","10.8","0.6","0","8","0","0"
"1","3","8","0","2","7.8","11.8","0.6","1.903","7.813","0.868","0"
"1","3","9","0","15","7.7","11.3","0.6","14.073","7.817","10.785","6.439"
"1","3","10","0","33","8.4","11.8","0.6","31.006","8.652","25.47","20.604"
"1","3","11","0","45","8.5","10.3","0.6","42.312","8.884","35.431","30.212"
"1","3","12","62","99","6.2","9.3","0.6","145.14","7.629","129.046","120.51"
"1","3","13","0","69","7.3","9.3","0.6","68.775","7.975","58.765","52.719"
"1","3","14","3","54","7.4","9.3","0.6","56.869","7.955","47.31","41.67"
"1","3","15","0","16","6.8","6.2","0.6","15.035","6.967","7.567","3.335"
"1","3","16","0","0","6","7.2","0.6","0","0","0","0"
"1","3","17","0","0","5.4","8.7","0.6","0","5.4","0","0"
"1","3","18","0","0","4.3","7.2","0.6","0","4.3","0","0"
"1","3","19","0","0","3.9","6.7","0.6","0","3.9","0","0"
"1","3","20","0","0","3.8","8.7","0.6","0","3.8","0","0"
"1","3","21","0","0","3.9","7.7","0.6","0","3.9","0","0"
"1","3","22","0","0","3.9","9.8","0.6","0","3.9","0","0"
"1","3","23","0","0","4","8.7","0.6","0","4","0","0"
"1","4","0","0","0","4.2","8.2","0.6","0","4.2","0","0"
"1","4","1","0","0","4.1","12.9","0.6","0","4.1","0","0"
"1","4","2","0","0","4","10.8","0.6","0","4","0","0"
"1","4","3","0","0","3.3","7.7","0.6","0","3.3","0","0"
"1","4","4","0","0","2.9","7.7","0.6","0","2.9","0","0"
"1","4","5","0","0","2.8","9.8","0.6","0","2.8","0","0"
"1","4","6","0","0","2.8","9.3","0.6","0","2.8","0","0"
"1","4","7","0","0","3","10.3","0.6","0","3","0","0"
"1","4","8","0","2","2.4","12.3","0.6","1.903","2.413","0.894","0"
"1","4","9","0","16","2.2","10.3","0.6","15.013","2.335","11.839","7.456"
"1","4","10","0","34","3","10.3","0.6","31.948","3.29","26.89","21.974"
"1","4","11","0","82","3.2","9.3","0.6","82.556","4.011","72.396","65.867"
"1","4","12","0","85","3.9","8.2","0.6","85.653","4.825","75.023","68.401"
"1","4","13","0","70","5","7.2","0.6","69.824","5.827","60.232","54.134"
"1","4","14","0","40","5.6","7.2","0.6","38.315","6.052","31.643","26.558"
"1","4","15","0","14","5.3","7.2","0.6","13.148","5.431","6.625","2.426"
"1","4","16","0","0","4.8","7.2","0.6","0","0","0","0"
"1","4","17","0","0","4.4","6.2","0.6","0","4.4","0","0"
"1","4","18","0","0","4.2","7.2","0.6","0","4.2","0","0"
"1","4","19","0","0","4","6.2","0.6","0","4","0","0"
"1","4","20","0","0","3.8","7.2","0.6","0","3.8","0","0"
"1","4","21","0","0","3.8","8.7","0.6","0","3.8","0","0"
"1","4","22","0","0","3.2","9.3","0.6","0","3.2","0","0"
"1","4","23","0","0","3","10.3","0.6","0","3","0","0"
"1","5","0","0","0","3","8.2","0.6","0","3","0","0"
"1","5","1","0","0","3","7.7","0.6","0","3","0","0"
"1","5","2","0","0","2.5","7.7","0.6","0","2.5","0","0"
"1","5","3","0","0","1.8","6.2","0.6","0","1.8","0","0"
"1","5","4","0","0","1.2","8.2","0.6","0","1.2","0","0"
"1","5","5","0","0","1","7.2","0.6","0","1","0","0"
"1","5","6","0","0","1.3","6.2","0.6","0","1.3","0","0"
"1","5","7","0","0","1.1","6.2","0.6","0","1.1","0","0"
"1","5","8","0","4","1.5","8.2","0.6","3.805","1.535","1.856","0"
"1","5","9","62","40","1.3","7.2","0.6","68.025","2.096","56.81","50.833"
"1","5","10","0","62","1.6","6.2","0.6","61.544","2.408","53.364","47.51"
"1","5","11","0","83","1.9","6.7","0.6","83.626","2.943","73.685","67.111"
